"GDELT_LIB_ID","GDELT_LIB_CONTENT","GDELT_2ND_ID"
1111,"overture",56
1112,"peace offering",56
1113,"piacular offering",56
1114,"pittance",56
1115,"preliminary approach",56
1119,"sacramental offering",56
1121,"scapegoat",56
1124,"submission",56
1126,"suttee",56
1127,"sutteeism",56
1128,"tentative approach",56
1129,"thank offering",56
1130,"tithe",56
1131,"tribute",56
1132,"votive offering",56
1133,"white elephant",56
1134,"whole offering",56
1136,"Agnus Dei",56
1137,"Benedicite",56
1138,"Gloria",56
1139,"Gloria Patri",56
1140,"Gloria in Excelsis",56
1141,"Introit",56
1142,"Magnificat",56
1143,"Miserere",56
1144,"Negro spiritual",56
1145,"Nunc Dimittis",56
1146,"Te Deum",56
1147,"Trisagion",56
1148,"Vedic hymn",56
1149,"alleluia",56
1152,"answer",56
1153,"anthem",56
1154,"antiphon",56
1155,"antiphony",56
1157,"cantata",56
1158,"canticle",56
1159,"chant",56
1161,"chorale",56
1162,"church music",56
1168,"doxology",56
1171,"gospel",56
1172,"gospel music",56
1173,"hallelujah",56
1178,"hosanna",56
1180,"hymn",56
1181,"hymn of praise",56
1182,"hymn-tune",56
1183,"hymnody",56
1184,"hymnography",56
1185,"hymnology",56
1189,"introit",56
1190,"laud",56
1193,"mantra",56
1194,"mass",56
1195,"motet",56
1198,"offertory sentence",56
1199,"oratorio",56
1200,"paean",56
1205,"prosodion",56
1206,"psalm",56
1207,"psalmody",56
1208,"recessional",56
1209,"report",56
1210,"requiem",56
1211,"requiem mass",56
1212,"response",56
1213,"responsory",56
1215,"sacred music",56
1220,"spiritual",56
1226,"versicle",56
1228,"white spiritual",56
1231,"accede",56
1233,"actuarial prediction",56
1234,"adumbration",56
1235,"afford hope",56
1239,"apocalypse",56
1240,"arrangement",56
1241,"aspiration",56
1242,"assent",56
1243,"assumption",56
1244,"assurance",56
1246,"assured faith",56
1247,"augur",56
1248,"augur well",56
1249,"augury",56
1250,"auspice",56
1251,"avouch",56
1252,"bargain",56
1253,"bargain for",56
1254,"be promising",56
1255,"bespeak",56
1256,"betoken",56
1257,"betokening",56
1258,"betokenment",56
1259,"bid fair",56
1260,"bid fair to",56
1261,"binding agreement",56
1262,"bond",56
1263,"capability",56
1264,"cartel",56
1265,"cheer",56
1266,"cheerful expectation",56
1267,"collective agreement",56
1269,"compact",56
1270,"confidence",56
1271,"consent",56
1272,"consortium",56
1275,"conviction",56
1276,"countersign",56
1278,"covenant of salt",56
1280,"dependence",56
1281,"desire",56
1282,"dicker",56
1283,"do a deal",56
1284,"doomed hope",56
1286,"employment contract",56
1289,"ensure",56
1290,"expectation",56
1291,"fair prospect",56
1293,"fervent hope",56
1294,"foreboding",56
1295,"forecast",56
1296,"forecasting",56
1297,"foreshadow",56
1298,"foreshadowing",56
1299,"foreshowing",56
1300,"foresight",56
1301,"foretell",56
1302,"foretelling",56
1303,"foretoken",56
1304,"foretokening",56
1305,"formal agreement",56
1306,"give hope",56
1307,"give indication of",56
1308,"give prospect of",56
1309,"good cheer",56
1310,"good hope",56
1311,"great expectations",56
1313,"guaranty",56
1314,"guesswork",56
1315,"have favorable odds",56
1316,"have good prospects",56
1317,"high hopes",56
1318,"hint",56
1319,"hint at",56
1320,"hold out hope",56
1321,"hold out promise",56
1322,"hope",56
1323,"hopeful prognosis",56
1324,"hopefulness",56
1325,"hopes",56
1326,"hoping",56
1327,"hoping against hope",56
1328,"imply",56
1329,"improbability",56
1330,"increase the chances",56
1331,"indicant",56
1332,"indicate",56
1333,"indication",56
1334,"inspire",56
1335,"inspire hope",56
1336,"inspirit",56
1337,"insure",56
1338,"ironclad agreement",56
1339,"justify hope",56
1340,"legal agreement",56
1341,"legal contract",56
1342,"likelihood",56
1343,"look like",56
1344,"make a deal",56
1345,"make a promise",56
1346,"make fair promise",56
1347,"make likely",56
1348,"make more likely",56
1349,"make probable",56
1350,"mutual agreement",56
1351,"oath",56
1352,"offer the expectation",56
1353,"omen",56
1354,"pact",56
1355,"paction",56
1356,"pass",56
1357,"pawn",56
1359,"plight",56
1360,"portent",56
1361,"potential",56
1362,"prayerful hope",56
1363,"prediction",56
1364,"prefiguration",56
1365,"prefigurement",56
1366,"prefiguring",56
1367,"preindication",56
1368,"premonitory shiver",56
1369,"premonitory sign",56
1370,"premonitory symptom",56
1371,"presage",56
1372,"presaging",56
1373,"presentiment",56
1374,"preshowing",56
1375,"presignifying",56
1376,"presumption",56
1377,"probability",56
1378,"probabilize",56
1379,"prognosis",56
1380,"prognostic",56
1381,"prognostication",56
1382,"prophecy",56
1383,"prophesying",56
1384,"prospect",56
1385,"prospects",56
1386,"prospectus",56
1387,"protocol",56
1388,"raise expectation",56
1389,"raise expectations",56
1390,"raise hope",56
1391,"reassure",56
1392,"reliance",56
1393,"sanguine expectation",56
1394,"security",56
1395,"seem likely",56
1396,"shadow",56
1397,"show a tendency",56
1398,"show signs of",56
1399,"sign",56
1400,"soothsay",56
1401,"speculation",56
1402,"stand fair to",56
1403,"statistical prediction",56
1404,"stipulate",56
1405,"stipulation",56
1407,"support",56
1409,"token",56
1410,"tokening",56
1411,"transaction",56
1412,"troth",56
1414,"type",56
1418,"underwrite",56
1419,"union contract",56
1420,"valid contract",56
1421,"vaticination",56
1422,"vouch",56
1424,"wage contract",56
1426,"warranty",56
1427,"well-grounded hope",56
1429,"word of honor",56
1430,"promised land",56
1431,"Agapemone",56
1432,"Arcadia",56
1433,"Beulah",56
1434,"Beulah Land",56
1435,"Big Rock-Candy Mountain",56
1436,"Canaan",56
1437,"Cloudcuckooland",56
1438,"Cockaigne",56
1439,"Eden",56
1440,"Eldorado",56
1441,"Erewhon",56
1442,"Garden of Eden",56
1443,"Goshen",56
1444,"Happy Valley",56
1445,"Heaven",56
1446,"Land of Beulah",56
1447,"Land of Youth",56
1448,"Laputa",56
1449,"Never-Never-land",56
1450,"Neverland",56
1451,"New Atlantis",56
1452,"Pandemonium",56
1453,"Paradise",56
1454,"Quivira",56
1455,"Shangri-la",56
1456,"Utopia",56
1457,"Zion",56
1458,"a better place",56
1459,"arcadia",56
1460,"better world",56
1461,"cloudland",56
1462,"dreamland",56
1463,"dystopia",56
1464,"eternal home",56
1465,"eternity",56
1466,"faerie",56
1467,"fairyland",56
1468,"glory",56
1469,"happy hunting ground",56
1470,"heaven",56
1471,"heaven above",56
1472,"heavenly kingdom",56
1473,"high heaven",56
