"GICS_LIB_ID","GICS_LIB_CONTENT","GICS_2ND_ID","GICS_PERM"
532,"and Agricultural Chemicals",131,0
533,"Agricultural",131,0
534,"Agricultural Chemicals",131,0
535,"Chemicals",131,0
536,"Investment",132,0
537,"Investment Banking",132,0
538,"Investment Banking and",132,0
539,"Investment Banking and Brokerage",132,132
540,"Banking",132,0
541,"Banking and",132,0
542,"Banking and Brokerage",132,0
544,"and Brokerage",132,0
545,"Brokerage",132,0
546,"Integrated",133,0
547,"Integrated Oil",133,0
548,"Integrated Oil and",133,0
549,"Integrated Oil and Gas",133,133
550,"Oil",133,529
551,"Oil and",133,0
552,"Oil and Gas",133,0
554,"and Gas",133,0
555,"Gas",133,530
556,"Restaurants",135,135
557,"Household",137,0
558,"Household Products",137,137
559,"Products",137,0
560,"Diversified",141,0
561,"Diversified Support",141,0
562,"Diversified Support Services",141,141
563,"Support",141,0
564,"Support Services",141,0
565,"Services",141,0
566,"Networking",142,0
567,"Networking Equipment",142,142
568,"Equipment",142,0
569,"Apparel",148,0
570,"Apparel Accessories",148,0
571,"Apparel Accessories and",148,0
572,"Apparel Accessories and Luxury",148,0
573,"Apparel Accessories and Luxury Goods",148,148
574,"Accessories",148,0
575,"Accessories and",148,0
576,"Accessories and Luxury",148,0
577,"Accessories and Luxury Goods",148,0
579,"and Luxury",148,0
580,"and Luxury Goods",148,0
581,"Luxury",148,0
582,"Luxury Goods",148,0
583,"Goods",148,0
584,"Soft",149,0
585,"Soft Drinks",149,149
586,"Drinks",149,0
587,"IT",151,0
588,"IT Consulting",151,0
589,"IT Consulting and",151,0
590,"IT Consulting and Services",151,151
591,"Consulting",151,0
592,"Consulting and",151,0
593,"Consulting and Services",151,0
595,"and Services",151,0
596,"Services",151,0
597,"Oil",153,529
598,"Oil and",153,0
599,"Oil and Gas",153,0
600,"Oil and Gas Storage",153,0
601,"Oil and Gas Storage and",153,0
602,"Oil and Gas Storage and Transportation",153,153
604,"and Gas",153,0
605,"and Gas Storage",153,0
606,"and Gas Storage and",153,0
607,"and Gas Storage and Transportation",153,0
608,"Gas",153,530
609,"Gas Storage",153,0
610,"Gas Storage and",153,0
611,"Gas Storage and Transportation",153,0
612,"Storage",153,0
613,"Storage and",153,0
614,"Storage and Transportation",153,0
616,"and Transportation",153,0
617,"Transportation",153,8
618,"Coal",158,0
619,"Coal and",158,0
620,"Coal and Consumable",158,0
621,"Coal and Consumable Fuels",158,158
623,"and Consumable",158,0
624,"and Consumable Fuels",158,0
625,"Consumable",158,0
626,"Consumable Fuels",158,0
627,"Fuels",158,0
628,"Construction",161,0
629,"Construction and",161,0
630,"Construction and Engineering",161,161
632,"and Engineering",161,0
633,"Engineering",161,0
634,"Hypermarkets",162,0
635,"Hypermarkets and",162,0
636,"Hypermarkets and Super",162,0
637,"Hypermarkets and Super Centers",162,162
639,"and Super",162,0
640,"and Super Centers",162,0
641,"Super",162,0
642,"Super Centers",162,0
643,"Centers",162,0
644,"Railroads",165,165
645,"Industrial",166,0
646,"Industrial Machinery",166,166
647,"Machinery",166,0
648,"Drug",167,0
649,"Drug Retail",167,167
650,"Retail",167,0
651,"Homebuilding",168,168
652,"Health",171,0
653,"Health Care",171,19
654,"Health Care Facilities",171,171
655,"Care",171,0
656,"Care Facilities",171,0
657,"Facilities",171,0
658,"Health",175,0
659,"Health Care",175,19
660,"Health Care Supplies",175,175
661,"Care",175,0
662,"Care Supplies",175,0
663,"Supplies",175,0
664,"Oil",177,529
665,"Oil and",177,0
666,"Oil and Gas",177,0
667,"Oil and Gas Drilling",177,177
669,"and Gas",177,0
670,"and Gas Drilling",177,0
671,"Gas",177,530
672,"Gas Drilling",177,0
673,"Drilling",177,0
674,"General",181,0
675,"General Merchandise",181,0
676,"General Merchandise Stores",181,181
677,"Merchandise",181,0
678,"Merchandise Stores",181,0
679,"Stores",181,0
680,"Diversified",185,0
681,"Diversified Chemicals",185,185
682,"Chemicals",185,0
683,"Data",190,0
684,"Data Processing",190,0
685,"Data Processing Services",190,190
686,"Processing",190,0
687,"Processing Services",190,0
688,"Services",190,0
689,"Specialty",195,0
690,"Specialty Chemicals",195,195
691,"Chemicals",195,0
692,"Personal",210,0
693,"Personal Products",210,210
694,"Products",210,0
695,"Automobile",231,0
696,"Automobile Manufacturers",231,231
697,"Manufacturers",231,0
698,"Diversified",234,0
699,"Diversified Metals",234,0
700,"Diversified Metals and",234,0
701,"Diversified Metals and Mining",234,234
702,"Metals",234,0
703,"Metals and",234,0
704,"Metals and Mining",234,0
706,"and Mining",234,0
707,"Mining",234,0
708,"Apparel",237,0
709,"Apparel Retail",237,237
710,"Retail",237,0
711,"Consumer",238,0
712,"Consumer Electronics",238,238
713,"Electronics",238,0
714,"Tires",247,0
715,"Tires and",247,0
716,"Tires and Rubber",247,247
718,"and Rubber",247,0
719,"Rubber",247,0
720,"Industrial",248,0
721,"Industrial Materials",248,248
722,"Materials",248,4
723,"Motorcycle",251,0
724,"Motorcycle Manufacturers",251,251
725,"Manufacturers",251,0
726,"Telecommunications",253,0
727,"Telecommunications Equipment",253,253
728,"Equipment",253,0
729,"Leisure",255,0
730,"Leisure Products",255,255
731,"Products",255,0
732,"Technology",260,0
733,"Technology Hardware",260,0
734,"Technology Hardware Storage",260,0
735,"Technology Hardware Storage and",260,0
736,"Technology Hardware Storage and Peripherals",260,260
737,"Hardware",260,0
738,"Hardware Storage",260,0
739,"Hardware Storage and",260,0
740,"Hardware Storage and Peripherals",260,0
741,"Storage",260,0
742,"Storage and",260,0
743,"Storage and Peripherals",260,0
745,"and Peripherals",260,0
746,"Peripherals",260,0
747,"Home",261,0
748,"Home Improvement",261,0
749,"Home Improvement Retail",261,261
750,"Improvement",261,0
751,"Improvement Retail",261,0
752,"Retail",261,0
753,"Life",269,0
754,"Life Sciences",269,0
755,"Life Sciences Tools",269,0
756,"Life Sciences Tools and",269,0
757,"Life Sciences Tools and Services",269,269
758,"Sciences",269,0
759,"Sciences Tools",269,0
760,"Sciences Tools and",269,0
761,"Sciences Tools and Services",269,0
762,"Tools",269,0
763,"Tools and",269,0
764,"Tools and Services",269,0
766,"and Services",269,0
767,"Services",269,0
768,"Paper",274,0
769,"Paper Products",274,274
770,"Products",274,0
771,"Advertising",275,275
772,"Trucking",282,282
773,"Oil",293,529
774,"Oil and",293,0
775,"Oil and Gas",293,0
776,"Oil and Gas Refining",293,0
777,"Oil and Gas Refining and",293,0
778,"Oil and Gas Refining and Marketing",293,0
779,"Oil and Gas Refining and Marketing and",293,0
780,"Oil and Gas Refining and Marketing and Transportation",293,293
782,"and Gas",293,0
