"GOVERNANCE_ID","GOVERNANCE_TITLE","RISK_ID","GOVERNANCE_DESCRIPTION","GOVERNANCE_KEYWORD","GOVERNANCE_DOMAIN"
1,"Business Relationship Deterioration",1,"loss of customers, loss of credibility of authority","customer / client","Shareholders / Investors / Partners / Suppliers / Rating Agencies"
2,"Media Resonance",1,"Massive amounts of people knowing about internal events and relationships","media / social / twitter / facebook","Newspapers / TV / Social Networks / Media"
3,"Sensitive Media Topics",1,"vulnerable members of society, regulatory areas","marginalize / minority","Transparency / Usury / Media"
4,"Political Debate",1,"social repercussions, attention of national politicians","politics / politician / political","Wealth / Honor / Media"
5,"Adverse Exchange Rate",2,"adverse movement in the exchange rate of the denomination currency in relation to the base currency before the date when the transaction is completed","exchange / rate / foreign","International Economics"
6,"Settlement Deterioration",3,"Fail to come to terms of settlement","settlement","Settlement"
7,"Technology Systems Breach",4,"Alien access to technology systems","hack / hacker","Technology / Internet / Security"
8,"Liquidity Impact",5,"Asset cannot be traded quickly enough without affecting market value","liquid / cash","Economics"
9,"Natural Disaster",6,"Natural Disaster","tornado / hurricane / heat / chill / wind / storm","Weather"
10,"Operational Expense",7,"Expense accrued due to operations","operation","Labor"
11,"Legal Impact",7,"Legal action taken due to event","sue / lawsuit","Law"
12,"Personal Bodily Damage",8,"Harm done to individual body","hurt / injury / personal","Law / Labor"
13,"Personal Psychological Damage",8,"Harm done to individual emotional, logical, or spiritual self","psychological","Law / Labor"
14,"Credit Deterioration",9,"Negative influence on the ability to lend or borrow","credit / lend / borrow","Economics / Credit"
15,"Manufacturing Setback",10,"Roadblock to Product Lifecycle Management","product / manufacturing","Manufacturing"
16,"Strategic Relationship Setback",11,"Negative impact on long-term relationships","relationship / strategy","Strategy / Relationships"
17,"Strategic Resource Setback",11,"Negative Impact on long-term resource acquisition","resource / tool / commodity","Strategy / Resources"
18,"Strategic Influence Setback",11,"Negative impact on long-term influence","influence","Strategy / Hegemony"
19,"Patent Infringement",12,"Trademark or Patent Infringement","patent / trademark / breach / stolen","Intellectual Property"
20,"Material Supply Negative Risk",13,"Negative impact on supply of materials (raw)","material / resource / supply","Materials"
21,"Time Lapse",14,"Something boring or tedious","bad","Good"
22,"Time Acceleration",14,"Something exciting or sexy","good","Bad"
23,"Monopoly Creation",15,"Increase of likelihood of creating a monopoly","monopoly / competition","Capitalism / Socialism"
24,"Socialistic Dominance",15,"Increase likelihood of lack of competition","competition","Capitalism / Socialism"
25,"Increase Tax",16,"(Increase likelihood of passing) Legislation that increases tax","tax / levy","Tax / Legislation / Law"
26,"Decrease Tax",16,"(Increase likelihood of passing) Legislation that decreases tax","tax / levy","Tax / Legislation / Law"
27,"Harm Environment",17,"Decrease likelihood of life proliferating (not cancer)","environement / green / organic","Environment"
28,"Help Environment",17,"Increase likelihood of life proliferating (not cancer)","environement / green / organic","Environement"
29,"Decrease Asset Value",18,"Decrease value of assets","asset / wealth / own","Wealth / Ecconomics"
30,"Increase Asset Value",18,"Increase value of assets","asset / wealth / own","Wealth / Ecconomics"
31,"Increase Liability",19,"Increase value of liabilities","liability / owe","Wealth / Ecconomics"
32,"Decrease Liability",19,"Decrease value of liabilities","liability / owe","Wealth / Ecconomics"
33,"Lesser Ability to Pay Dividends",20,"Negatively impact ability to pay dividends","dividend","Wealth / Ecconomics"
34,"Increase Equity",21,"Increase Equity","equity / asset / liability","Wealth / Ecconomics"
35,"Decrease Equity",21,"Decrease Equity","equity / asset / liability","Wealth / Ecconomics"
36,"Poor Audit",22,"Increase likelihood of a poor audit","audit","Audit / Tax"
37,"Great Audit",22,"Increase likelihood of a great audit","audit","Audit / Tax"
38,"Decrease Fuel Price",23,"Decrease fuel price","fuel / oil / gas / petroleum","Oil (Everything)"
39,"Increase Fuel Price",23,"Increase Fuel Price","fuel / oil / gas / petroleum","Oil (Everything)"
40,"Pass Consumer Quality Standards",24,"Increase Likelihood of passing quality standards","consumer / quality / standard","Consumerism"
41,"Fail Consumer Quality Standards",24,"Increase Likelihood of failing quality standards","consumer / quality / standard","Consumerism"
42,"Decrease Profit",25,"Decrease profit","profit / net","Wealth / Ecconomics"
43,"Increase Profit",25,"Increase Profit","profit / net","Wealth / Ecconomics"
44,"Increase Volatility",26,"Increase fluctuation","volatile / risk","Wealth / Ecconomics"
45,"Decrease Volatilty",26,"Decrease fluctuation","volatile / risk","Wealth / Ecconomics"
46,"Undervalue",27,"Increase likelihood of undervalue","value / valuation","Wealth / Ecconomics"
47,"Overvalue",27,"Increase likelihood of overvalue","value / valuation","Wealth / Ecconomics"
49,"Medical Interest",29,"Medical Interests","",""
50,"Political Interest",30,"Political Interests","",""
48,"Negative Paul Risk",28,"Risk that has a negative impave on Paul Richards interests","h-1b / trump","Immigration"
