"IDEA_1ST_ID","IDEA_1ST","IDEA_GDELT_CODE"
0,"NOTHING","0"
1,"Yield","01"
2,"Comment","02"
3,"Consult","03"
4,"Endorse","04"
5,"Promise","05"
6,"Grant","06"
7,"Reward","07"
8,"Agree","08"
9,"Request","09"
10,"Propose","10"
11,"Reject","11"
12,"Accuse","12"
13,"Complain","13"
14,"Deny","14"
15,"Demand","15"
16,"Warn","16"
17,"Threaten","17"
18,"Demonstrate","18"
19,"Sanction","19"
20,"Expel","20"
21,"Seize","21"
22,"Force","22"
23,"Economic activity","23"
24,"Adjudicate","24"
25,"Vote","25"
26,"Adjust","26"
29,"Other human action","29"
41,"Human illness","41"
42,"Human death","42"
43,"Economic status","43"
44,"Psychological state","44"
49,"Other human condition","49"
51,"Natural disaster","51"
52,"Accident","52"
59,"Other incident","59"
71,"Animal attack","71"
72,"Animal death","72"
73,"Animal illness","73"
79,"Other animal incident","79"
98,"A&E Performance","98"
99,"Sports contest","99"
27,"Express intent","27"
28,"Engage in diplomatic cooperation","28"
30,"Cooperation","30"
31,"Provide","31"
32,"Material aid","32"
33,"Investigate","33"
34,"Political reform","34"
35,"Disapprove","35"
36,"Use unconventional mass violence","36"
37,"Economic","37"
38,"Military","38"
39,"Judicial","39"
40,"Intelligence","40"
46,"Humanitarian","46"
47,"Policy","47"
45,"Leadership","45"
48,"Rights","48"
53,"Regime","53"
54,"Negotiation","54"
