"IDEA_LIB_ID","IDEA_LIB_CONTENT","IDEA_2ND_ID"
1002,"summitry",9
1004,"warning",9
1005,"endorse",13
1006,"abet",13
1007,"accede to",13
1009,"accord to",13
1010,"accredit",13
1011,"admire",13
1012,"advocate",13
1013,"affirm",13
1014,"agree to",13
1015,"aid and abet",13
1016,"amen",13
1017,"approve",13
1018,"approve of",13
1020,"assure",13
1021,"attest",13
1022,"authenticate",13
1023,"authorize",13
1024,"autograph",13
1025,"back",13
1026,"back up",13
1027,"be sponsor for",13
1028,"be willing",13
1029,"bless",13
1030,"bond",13
1031,"certify",13
1032,"champion",13
1033,"comfort",13
1034,"command",13
1035,"condescend",13
1036,"confirm",13
1037,"connive at",13
1039,"consent to silently",13
1040,"cosign",13
1042,"countersecure",13
1043,"countersign",13
1044,"deign",13
1045,"elect",13
1046,"embolden",13
1047,"encourage",13
1048,"ensure",13
1049,"esteem",13
1051,"give consent",13
1052,"give permission",13
1053,"give the go-ahead",13
1054,"give the imprimatur",13
1055,"give thumbs up",13
1057,"go for",13
1059,"guarantee",13
1060,"guaranty",13
1061,"have no objection",13
1062,"hearten",13
1063,"hold with",13
1064,"indorse",13
1065,"initial",13
1066,"insure",13
1067,"keep in countenance",13
1068,"nod",13
1069,"nod assent",13
1070,"nominate",13
1071,"not refuse",13
1072,"notarize",13
1073,"okay",13
1074,"pass",13
1075,"pass on",13
1076,"pass upon",13
1077,"permit",13
1078,"ratify",13
1079,"recommend",13
1080,"respect",13
1081,"rubber stamp",13
1082,"sanction",13
1083,"say amen to",13
1084,"say aye",13
1085,"say yes",13
1086,"seal",13
1087,"second",13
1088,"secure",13
1089,"shine upon",13
1090,"sign",13
1091,"sign and seal",13
1092,"sign for",13
1093,"smile upon",13
1094,"sponsor",13
1095,"stand behind",13
1096,"stand by",13
1097,"stand up for",13
1098,"subscribe",13
1099,"subscribe to",13
1101,"sustain",13
1102,"swear and affirm",13
1103,"swear to",13
1104,"take kindly to",13
1105,"think well of",13
1106,"undersign",13
1107,"underwrite",13
1108,"uphold",13
1109,"validate",13
1110,"view with favor",13
1111,"visa",13
1112,"vise",13
1113,"vote",13
1114,"vote affirmatively",13
1115,"vote aye",13
1116,"vouch",13
1118,"wink at",13
1119,"witness",13
1120,"yield assent",13
1121,"ent",13
1128,"adherence",13
1129,"admiration",13
1130,"affirmance",13
1132,"affirmative",13
1133,"affirmative voice",13
1134,"agreement",13
1135,"approbation",13
1138,"authentication",13
1139,"authorization",13
1141,"aye",13
1142,"backing",13
1143,"blessing",13
1144,"certification",13
1145,"christcross",13
1146,"cipher",13
1148,"confirmation",13
1149,"connivance",13
1152,"countermark",13
1154,"countersignature",13
1155,"counterstamp",13
1156,"cross",13
1157,"device",13
1158,"eagerness",13
1161,"favorable vote",13
1162,"fiat",13
1163,"go-ahead",13
1164,"green light",13
1165,"hand",13
1166,"imprimatur",13
1167,"indorsement",13
1168,"initials",13
1169,"mark",13
1170,"mark of signature",13
1171,"monogram",13
1173,"notarization",13
1175,"permission",13
1176,"promptitude",13
1177,"promptness",13
1178,"ratification",13
1179,"readiness",13
1184,"seal of approval",13
1185,"sigil",13
1186,"sign manual",13
1187,"signature",13
1188,"signet",13
1189,"stamp",13
1190,"stamp of approval",13
1192,"subscription",13
1194,"the nod",13
1195,"ungrudgingness",13
1196,"unloathness",13
1197,"unreluctance",13
1198,"validation",13
1201,"voice",13
1204,"willingness",13
1205,"yea",13
1206,"yea vote",13
1209,"abettor",13
1210,"admirer",13
1212,"aficionado",13
1213,"angel",13
1214,"apologist",13
1215,"approver",13
1216,"backer",13
1217,"buff",13
1218,"certifier",13
1220,"confirmer",13
1221,"cosignatory",13
1222,"cosigner",13
1223,"defender",13
1224,"dependence",13
1225,"encourager",13
1227,"fan",13
1228,"favorer",13
1229,"friend at court",13
1230,"guarantor",13
1231,"insurer",13
1232,"lover",13
1233,"mainstay",13
1234,"maintainer",13
1235,"notary",13
1236,"notary public",13
1237,"paranymph",13
1238,"partisan",13
1239,"party",13
1240,"patron",13
1241,"promoter",13
1242,"protagonist",13
1243,"ratifier",13
1244,"reliance",13
1246,"seconder",13
1247,"sectary",13
1248,"sider",13
1249,"signatory",13
1251,"stalwart",13
1252,"standby",13
1253,"subscriber",13
1255,"supporter",13
1256,"sustainer",13
1257,"sympathizer",13
1258,"underwriter",13
1259,"upholder",13
1260,"votary",13
1261,"well-wisher",13
1262,"promise",18
1265,"actuarial prediction",18
1266,"adumbration",18
1267,"afford hope",18
1271,"apocalypse",18
1273,"aspiration",18
1275,"assumption",18
1276,"assurance",18
1278,"assured faith",18
1279,"augur",18
1280,"augur well",18
1281,"augury",18
1282,"auspice",18
1283,"avouch",18
1285,"bargain for",18
1286,"be promising",18
1287,"bespeak",18
1288,"betoken",18
1289,"betokening",18
1290,"betokenment",18
1291,"bid fair",18
1292,"bid fair to",18
1293,"binding agreement",18
1295,"capability",18
1296,"cartel",18
1297,"cheer",18
1298,"cheerful expectation",18
1299,"collective agreement",18
1300,"commitment",18
1301,"compact",18
1302,"confidence",18
1304,"consortium",18
1305,"contract",18
1307,"conviction",18
1309,"covenant",18
1310,"covenant of salt",18
1313,"desire",18
1314,"dicker",18
1315,"do a deal",18
1316,"doomed hope",18
1317,"earnest",18
1318,"employment contract",18
1319,"engage",18
1320,"engagement",18
1322,"expectation",18
1323,"fair prospect",18
1324,"faith",18
1325,"fervent hope",18
1326,"foreboding",18
1327,"forecast",18
1328,"forecasting",18
1329,"foreshadow",18
1330,"foreshadowing",18
1331,"foreshowing",18
1332,"foresight",18
1333,"foretell",18
1334,"foretelling",18
1335,"foretoken",18
1336,"foretokening",18
1337,"formal agreement",18
1338,"give hope",18
1339,"give indication of",18
1340,"give prospect of",18
1341,"good cheer",18
1342,"good hope",18
1343,"great expectations",18
1346,"guesswork",18
1347,"have favorable odds",18
1348,"have good prospects",18
1349,"high hopes",18
1350,"hint",18
1351,"hint at",18
1352,"hold out hope",18
1353,"hold out promise",18
1354,"hope",18
1355,"hopeful prognosis",18
1356,"hopefulness",18
1357,"hopes",18
1358,"hoping",18
1359,"hoping against hope",18
1360,"imply",18
1361,"improbability",18
1362,"increase the chances",18
1363,"indicant",18
1364,"indicate",18
1365,"indication",18
1366,"inspire",18
1367,"inspire hope",18
1368,"inspirit",18
1370,"ironclad agreement",18
1371,"justify hope",18
1372,"legal agreement",18
1373,"legal contract",18
1374,"likelihood",18
1375,"look like",18
1377,"make a promise",18
1378,"make fair promise",18
1379,"make likely",18
1380,"make more likely",18
1381,"make probable",18
1382,"mutual agreement",18
1383,"oath",18
1384,"offer the expectation",18
1385,"omen",18
1386,"pact",18
1387,"paction",18
1389,"pawn",18
1390,"pledge",18
1391,"plight",18
1392,"portent",18
1393,"potential",18
1394,"prayerful hope",18
1395,"prediction",18
1396,"prefiguration",18
1397,"prefigurement",18
1398,"prefiguring",18
1399,"preindication",18
1400,"premonitory shiver",18
1401,"premonitory sign",18
1402,"premonitory symptom",18
1403,"presage",18
1404,"presaging",18
1405,"presentiment",18
1406,"preshowing",18
1407,"presignifying",18
1408,"presumption",18
1409,"probability",18
1410,"probabilize",18
1411,"prognosis",18
1412,"prognostic",18
1413,"prognostication",18
1414,"prophecy",18
1415,"prophesying",18
1416,"prospect",18
1417,"prospects",18
1418,"prospectus",18
1419,"protocol",18
1420,"raise expectation",18
1421,"raise expectations",18
1422,"raise hope",18
1423,"reassure",18
1425,"sanguine expectation",18
1426,"security",18
1427,"seem likely",18
1428,"shadow",18
1429,"show a tendency",18
1430,"show signs of",18
1432,"soothsay",18
1433,"speculation",18
1434,"stand fair to",18
1435,"statistical prediction",18
1436,"stipulate",18
1437,"stipulation",18
1438,"suggest",18
1440,"swear",18
1441,"token",18
1442,"tokening",18
1443,"transaction",18
1444,"troth",18
1445,"trust",18
1446,"type",18
1448,"undertake",18
1449,"undertaking",18
1451,"union contract",18
1452,"valid contract",18
1453,"vaticination",18
1455,"vow",18
1456,"wage contract",18
1458,"warranty",18
1459,"well-grounded hope",18
1461,"word of honor",18
1462,"land",18
1490,"a better place",18
1491,"arcadia",18
1492,"better world",18
1493,"cloudland",18
1494,"dreamland",18
1495,"dystopia",18
1496,"eternal home",18
1497,"eternity",18
1498,"faerie",18
1499,"fairyland",18
1500,"glory",18
1501,"happy hunting ground",18
1502,"heaven",18
1503,"heaven above",18
1504,"heavenly kingdom",18
1505,"high heaven",18
1506,"kakotopia",18
1507,"kingdom come",18
1508,"kingdom of God",18
1509,"kingdom of glory",18
1510,"kingdom of heaven",18
1511,"land of dreams",18
1512,"land of enchantment",18
1513,"land of faerie",18
1514,"land of plenty",18
1515,"land of promise",18
1516,"lotus land",18
1517,"millennium",18
1518,"otherworld",18
1519,"paradise",18
1520,"presence of God",18
1521,"realm of light",18
1522,"the Promised Land",18
1523,"the happy land",18
1524,"the world above",18
1525,"utopia",18
1526,"wonderland",18
1528,"affianced",18
1529,"agreed",18
1530,"anticipated",18
1531,"arranged",18
1532,"assured",18
1533,"augured",18
1534,"awaited",18
1535,"betrothed",18
1536,"bound",18
1537,"committed",18
1538,"compacted",18
1539,"compromised",18
1540,"contracted",18
1541,"covenanted",18
1542,"due",18
1543,"engaged",18
1544,"expected",18
1545,"foreseen",18
1546,"foreshadowed",18
1547,"foreshown",18
1548,"foretokened",18
1549,"guaranteed",18
1550,"hoped-for",18
1551,"imminent",18
1552,"in prospect",18
1553,"in view",18
1554,"indicated",18
1555,"intended",18
1556,"long-expected",18
1557,"obligated",18
1558,"on the horizon",18
1559,"overdue",18
1560,"pledged",18
1561,"plighted",18
1562,"predicted",18
1563,"prefigured",18
1564,"preindicated",18
1565,"presaged",18
1566,"presignified",18
1567,"presumed",18
1568,"pretypified",18
1569,"probable",18
1570,"prognosticated",18
1571,"prospective",18
1572,"sealed",18
1573,"settled",18
1574,"signed",18
1575,"signified",18
1576,"stipulated",18
1577,"sworn",18
1578,"threatened",18
1579,"undertaken",18
1580,"underwritten",18
1581,"warranted",18
1588,"accordance",25
1592,"admit everything",25
1593,"admit exceptions",25
1597,"aid",25
1598,"alimony",25
1599,"allocate",25
1601,"allotment",25
1603,"allow for",25
1604,"allowance",25
1605,"alms",25
1606,"annuity",25
1611,"assign",25
1612,"assistance",25
1613,"assume",25
1616,"awarding",25
1617,"be afraid",25
1619,"believe",25
1620,"benefaction",25
1621,"bequest",25
1624,"bestowal",25
1625,"bestowment",25
1626,"blank check",25
1627,"bounty",25
1628,"brevet",25
1629,"carte blanche",25
1632,"charity",25
1633,"charter",25
1634,"circumscription",25
1635,"come clean",25
1637,"communication",25
1639,"conceive",25
1641,"conclude",25
1644,"conferment",25
1645,"conferral",25
1649,"consent to",25
1,"yield",1
3,"abdicate",1
4,"abjure",1
5,"accede",1
6,"accept",1
7,"accommodate",1
8,"accommodate with",1
9,"accord",1
10,"acknowledge",1
11,"acknowledge defeat",1
12,"adapt",1
13,"adapt to",1
14,"adjust",1
15,"adjust to",1
16,"administer",1
17,"admit",1
18,"afford",1
19,"aftermath",1
20,"agree",1
21,"agree provisionally",1
22,"agree with",1
23,"allot",1
24,"allow",1
25,"assent",1
26,"assent grudgingly",1
27,"assimilate to",1
28,"avails",1
29,"avow",1
30,"award",1
31,"back down",1
32,"balance",1
33,"be guided by",1
34,"bear",1
35,"bear fruit",1
36,"bear up",1
37,"bearing",1
38,"bend",1
39,"bestow",1
40,"bestow on",1
41,"bounce",1
43,"box office",1
44,"break",1
45,"break off combat",1
46,"bring forth",1
47,"bring in",1
48,"bumper crop",1
49,"capitulate",1
50,"cater to",1
51,"cave",1
52,"cave in",1
53,"cease",1
54,"cease resistance",1
56,"chime in with",1
57,"clothe",1
58,"coddle",1
59,"collapse",1
60,"come apart",1
61,"come unstuck",1
62,"commissions",1
63,"communicate",1
64,"comply",1
65,"comply with",1
66,"compose",1
67,"compound",1
68,"compromise",1
69,"concede",1
70,"concur",1
71,"condone",1
72,"confer",1
73,"confess",1
74,"conform",1
75,"conk out",1
76,"consent",1
77,"contribute",1
78,"cop out",1
79,"correct",1
80,"correspond",1
81,"cosset",1
82,"countenance",1
83,"credit",1
84,"credits",1
85,"crop",1
86,"crumble",1
87,"crumple",1
88,"cry quits",1
89,"deal",1
90,"deal out",1
91,"debate",1
92,"decline",1
93,"defer",1
94,"deliberate",1
95,"demur",1
96,"desist from",1
97,"discharge",1
98,"discipline",1
99,"disgorge",1
100,"dish out",1
101,"disintegrate",1
102,"dispense",1
103,"dispense with",1
104,"disposable income",1
105,"dispose of",1
106,"dividend",1
107,"dividends",1
108,"do without",1
109,"dole",1
110,"dole out",1
111,"donate",1
112,"droop",1
113,"drop",1
114,"duck responsibility",1
115,"dump",1
116,"earn",1
117,"earned income",1
118,"earnings",1
119,"eject",1
120,"emit",1
121,"endow",1
122,"evade responsibility",1
123,"express general agreement",1
124,"extend",1
125,"fade",1
126,"fail",1
127,"faint",1
128,"fall in with",1
129,"falter",1
130,"favor",1
131,"fear",1
132,"fill",1
133,"fill up",1
134,"find",1
136,"fizzle out",1
137,"flag",1
138,"fold up",1
139,"follow",1
140,"forgo",1
863,"look up",9
864,"meal",9
865,"negotiate",9
867,"parley",9
868,"partake of",9
869,"powwow",9
870,"put heads together",9
872,"reason with",9
874,"run through",9
875,"sit down together",9
876,"sit down with",9
877,"spend",9
878,"squander",9
880,"take counsel",9
881,"take counsel with",9
882,"take up with",9
884,"throw away",9
886,"trifle away",9
887,"use up",9
888,"wash up",9
889,"nt",9
893,"adept",9
894,"admonisher",9
895,"adviser",9
896,"advisor",9
897,"artisan",9
898,"artist",9
899,"attache",9
900,"authority",9
901,"backseat driver",9
902,"buttinsky",9
903,"confidant",9
904,"connaisseur",9
906,"cordon bleu",9
908,"counselor",9
909,"crack shot",9
910,"craftsman",9
911,"dead shot",9
912,"diplomat",9
913,"diplomatist",9
914,"doctor",9
915,"elder statesman",9
916,"experienced hand",9
917,"expert",9
918,"expert consultant",9
919,"graduate",9
921,"handy man",9
922,"instructor",9
923,"journeyman",9
924,"kibitzer",9
925,"marksman",9
926,"meddler",9
927,"mentor",9
928,"monitor",9
929,"nestor",9
930,"no slouch",9
931,"orienter",9
932,"physician",9
