ID,RISK_SUMMARY_ID,GOVERNANCE_ID,SEMANTIC_RISK_CONTENT
1,1,1,client
2,1,1,customer
3,1,1,shareholder
4,1,1,partner
5,1,1,supplier
6,1,1,investor
7,1,2,media
8,1,2,social
9,1,2,twitter
10,1,2,facebook
11,1,2,linkedin
12,1,2,news
13,1,2,tv
14,1,3,minority
15,1,3,marginalize
16,1,3,opposition
17,1,3,majority
18,1,4,wealth
19,1,4,politic
20,1,4,honor
21,1,4,equal
22,1,4,power
23,1,4,reputation
24,2,5,exchange rate
25,2,5,currency
26,2,5,denomination
27,2,5,dollar
28,2,5,yen
29,2,5,euro
30,2,5,pound
31,2,5,franc
32,3,6,settle
33,3,6,negotiat
34,3,6,agree
35,3,6,arrange
36,3,6,contract
37,3,6,deal
38,3,6,resolution
39,4,7,tech
40,4,7,hack
41,4,7,leak
42,4,7,internet
43,4,7,web
44,4,7,secur
45,5,8,liquid
46,5,8,cash
47,5,8,market value
48,6,9,tornado
49,6,9,hurricane
50,6,9,heat
51,6,9,chill
52,6,9,wind
53,6,9,storm
54,6,9,monsoon
55,6,9,hot
56,6,9,cold
57,7,10,operat
58,7,10,action
59,7,10,activity
60,7,10,affair
61,7,10,agency
62,7,10,application
63,7,10,procedure
64,7,10,workflow
65,7,10,process
66,7,10,service
67,7,10,transaction
68,8,12,hurt
69,8,12,injury
70,8,12,abuse
71,8,12,bruise
72,8,12,burn
73,8,12,cramp
74,8,12,cut
75,8,12,personal
76,8,12,suffering
77,8,12,trauma
78,8,12,wound
79,7,11,sue
80,7,11,law
81,7,11,litigat
82,7,11,accuse
83,7,11,appeal
84,7,11,charge
85,7,11,indict
86,7,11,prosecute
87,7,11,bill
88,7,11,suit
89,8,13,psych
90,8,13,cognitive
91,8,13,emotion
92,8,13,intell
93,8,13,mental
94,8,13,subjective
95,9,14,credit
96,9,14,lend
97,9,14,borrow
98,9,14,lean
99,9,14,steal
100,10,15,manufactur
101,10,15,product
102,10,15,assembl
103,10,15,factory
104,10,15,factories
105,11,16,relat
106,11,16,connect
107,11,16,contact
108,11,17,utensil
109,11,17,tool
110,11,17,mean
111,11,17,source
112,11,17,territor
113,11,18,influence
114,11,18,strategy
115,11,18,clout
116,11,18,control
117,11,18,domination
118,11,18,consequence
119,11,18,importan
120,11,18,leader
121,11,18,leverage
122,12,19,patent
123,12,19,infring
124,12,19,intellectual property
125,12,19,trademark
126,12,19,ip
127,12,19,copyright
128,12,19,copyleft
129,12,19,trade secret
130,13,20,suppy
131,13,20,supplies
132,13,20,logistic
133,13,20,material
134,13,20,mine
135,13,20,mining
136,13,20,commod
137,15,23,monopol
138,15,23,compet
139,15,23,cartel
140,15,23,rich
141,15,23,wealthy
142,15,23,upper class
143,15,23,trump
144,15,24,handout
145,15,24,medicare
146,15,24,obama
147,15,24,hillary
148,15,24,clinton
149,16,25,tax
150,16,25,duty
151,16,25,fine
152,16,25,levy
153,16,25,tariff
154,16,25,rate
155,17,27,environ
156,17,27,organic
157,17,27,green
158,17,27,climate
159,17,27,habitat
160,17,27,global warming
161,18,29,asset
162,18,29,propert
163,18,29,estate
164,18,29,farm
165,19,31,liable
166,19,31,liability
167,19,31,liabilities
168,19,31,owe
169,19,31,debt
170,19,31,accountab
171,19,31,oblig
172,20,33,dividend
173,20,33,salar
174,20,33,allowance
175,20,33,bonus
176,20,33,coupon
177,20,33,gain
178,20,33,premium
179,20,33,proceed
180,20,33,surplus
181,20,33,reward
182,21,34,equit
183,22,36,valuat
184,22,36,audit
185,22,36,irs
186,23,38,fuel
187,23,38,gas
188,23,38,petrol
189,23,38,oil
190,23,38,crude
191,23,38,gaz
192,24,40,consum
193,24,40,quality
194,24,40,standard
195,24,40,expect
196,25,42,profit
197,26,44,volatil
198,26,44,risk
199,26,44,probab
200,26,44,possibil
201,26,44,certain
